Hat,Robe,Boots,Wand,Athame,Amulet,Ring,Pet,Mount,Deck,Max Health,Damage,Flat Damage,Resistance,Flat Resistance,Accuracy,Critical Rating,Critical Block Rating,Armor Piercing,Stun Resistance,Incoming Healing,Outgoing Healing,Pip Conversion Rating,Power Pip Chance,Shadow Pip Rating,Archmastery Rating,Enchant Damage,Gear Set,Adjusted Health,Balanced Rating,Mob R1 Dmg,Mob HighRes R1 Dmg,Boss R1 Dmg
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8727,117,0,61,0,0,544,407,8,0,6,20,560,78,117,191,300,Dragoon's Shocking Set (1x),16047,31687,2110,1406,1718
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8727,144,0,61,0,5,681,394,16,0,6,20,742,78,117,191,300,Dragoon's Shocking Set (1x),16047,36527,2735,1914,2240
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8727,141,0,61,0,5,700,378,20,0,6,20,560,78,138,191,300,Dragoon's Shocking Set (1x),16047,36967,2849,2035,2340
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8694,103,0,61,0,0,405,407,8,0,6,8,560,90,117,191,300,Dragoon's Shocking Set (1x),16014,29974,1877,1251,1537
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8694,130,0,61,0,5,542,394,16,0,6,8,742,90,117,191,300,Dragoon's Shocking Set (1x),16014,34814,2483,1738,2035
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8694,127,0,61,0,5,561,378,20,0,6,8,560,90,138,191,300,Dragoon's Shocking Set (1x),16014,35254,2588,1848,2125
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7967,84,0,67,0,0,397,472,8,0,14,22,560,75,105,191,300,No Gear Set,16007,27687,1695,1130,1389
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7967,111,0,67,0,5,534,459,16,0,14,22,742,75,105,191,300,No Gear Set,16007,32527,2272,1590,1862
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7967,108,0,67,0,5,553,443,20,0,14,22,560,75,126,191,300,No Gear Set,16007,32967,2366,1690,1943
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8671,117,0,61,0,0,513,387,8,0,6,20,560,88,117,136,300,Dragoon's Shocking Set (1x),15991,31631,2089,1392,1703
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8671,144,0,61,0,5,650,374,16,0,6,20,742,88,117,136,300,Dragoon's Shocking Set (1x),15991,36471,2714,1900,2223
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8671,141,0,61,0,5,669,358,20,0,6,20,560,88,138,136,300,Dragoon's Shocking Set (1x),15991,36911,2828,2020,2322
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8671,117,0,61,0,0,520,347,8,0,6,20,660,78,117,136,300,Dragoon's Shocking Set (1x),15991,31631,2094,1396,1706
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8671,144,0,61,0,5,657,334,16,0,6,20,842,78,117,136,300,Dragoon's Shocking Set (1x),15991,36471,2719,1903,2227
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8671,141,0,61,0,5,676,318,20,0,6,20,660,78,138,136,300,Dragoon's Shocking Set (1x),15991,36911,2833,2023,2327
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8667,121,0,61,0,0,494,407,8,0,6,8,560,96,117,191,300,Dragoon's Shocking Set (1x),15987,32107,2114,1409,1724
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8667,148,0,61,0,5,631,394,16,0,6,8,742,96,117,191,300,Dragoon's Shocking Set (1x),15987,36947,2746,1922,2249
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8667,145,0,61,0,5,650,378,20,0,6,8,560,96,138,191,300,Dragoon's Shocking Set (1x),15987,37387,2862,2044,2350
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7934,70,0,67,0,0,258,472,8,0,14,10,560,87,105,191,300,No Gear Set,15974,25974,1456,971,1214
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7934,97,0,67,0,5,395,459,16,0,14,10,742,87,105,191,300,No Gear Set,15974,30814,2015,1410,1661
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7934,94,0,67,0,5,414,443,20,0,14,10,560,87,126,191,300,No Gear Set,15974,31254,2101,1500,1734
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8414,125,0,63,0,8,563,411,7,0,6,20,560,80,97,191,300,Dragoon's Shocking Set (1x),15974,32374,2169,1436,1765
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8414,152,0,63,0,13,700,398,15,0,6,20,742,80,97,191,300,Dragoon's Shocking Set (1x),15974,37214,2801,1950,2294
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8414,149,0,63,0,13,719,382,19,0,6,20,560,80,118,191,300,Dragoon's Shocking Set (1x),15974,37654,2920,2076,2398
